Service ID,CCG17CD,Est CCG from Postc,Service Name,postcode,Address,Enquiries Contact - phone,Fax,Enquiries Contact - email,URL,Service Provider / NHS Trust,Commisioner
musgreg,E38000066,ZC010,Regional Disablement Services Wheelchair Centre,BT9 7JB,Musgrave Park Hospital Stockmans Lane   Belfast County Antrim,028 950 41747,028 9090 2721,,http://www.belfasttrust.hscni.net,Belfast Health and Social Care Trust,Health and Social Care Board
belfstrn,E38000154,ZC010,Regional Wheelchair Service,BT4 1NU,Strand House 102 Holywood Road   Belfast County Antrim,028 9056 3545,,,,South & East Belfast HSS Trust,South & East Belfast HSS Trust
cntydurm,E38000042,E38000042,County Durham & Darlington Wheelchair,DL3 6HX,Darlington Memorial Hospital Memorial Hospital Hollyhurst Raod  Darlington County Durham,01325 743861,01325 743180,janetmoran@nhs.net,,County Durham & Darlington NHS Foundation Trust,
ctyddarl,E38000116,E38000116,County Durham & Darlington Wheelchair Service,DH1 5RD,Tarncroft Villa Lanchester Road Hospital Lanchester Road  Durham County Durham,0191 333 6327,0191 3336521,,,County Durham & Darlington NHS Foundation Trust,
nthdurm,E38000217,E38000116,Occupational Therapy Department,DH8 0NB,Shotley Bridge General Hospital Shotley Bridge   Consett County Durham,01207 586060,,,,North Durham Health Care NHS Trust,North Durham Health Care NHS Trust
carlcumb,E38000215,E38000215,Carlisle Disablement Services Centre,CA2 7HY,Lower Ground Floor Cumberland Infirmary Infirmary Street  Carlisle Cumbria,01228 814783,01228 814809,sue.bannister@northcumbria-acute.nhs.uk,,North Cumbria Acute Hospitals NHS Trust,North Cumbria Acute Hospitals NHS Trust
derbshmul,E38000115,E38000229,Derbyshire Wheelchair Service,S45 9NZ,Mulberry Clay Cross Hospital Market Street Clay Cross Chesterfield Derbyshire,01246 252970,01246 252973,,,Derbyshire  Community Health Service,Derbyshire  Community Health Service
derbman,E38000169,E38000229,Derbyshire Wheelchair Service,DE22 3NB,The Manor Store Manor Parkway Uttoxeter Road  Derby Derbyshire,01332 287057,01332 287059,,,Derbyshire Community Health Service,Derbyshire Community Health Service
plymthm,E38000152,E38000230,Plymouth Wheelchair Service,PL6 7PY,Millbrook Healthcare Unit D Armada Point Estover Road  Plymouth Devon,0845 8940634,0845 4818567,,,Plymouth Teaching Primary Care Trust,Plymouth Teaching Primary Care Trust
exendev,E38000129,E38000230,Exeter Mobility Centre,EX5 4QX,Lister Close Wonford Road   Exeter Devon,01392 403648,01392 403667,,,Royal Devon & Exeter NHS Foundation Trust,"New Devon, Somerset, Torbay CCGs"
dorseacn,E38000045,E38000045,Dorset Wheelchair Service (East),BH24 2RR,The Acorn Building St Leonards Hospital Ringwood Road  Ringwood Dorset,01202 892874,01202 870553,,www.dorsetwheelchairs.nhs.uk,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust
dorsunf,E38000045,E38000045,Dorset Wheelchair Service (West),DT1 1YA,Unit F2 Marabout Industrial Estate   Dorchester Dorset,01305 261210,01305 259529,,www.dorsetwheelchairs.nhs.uk,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust
easushas,E38000213,E38000076,East Sussex Wheelchair Service,TN37 7RD,Conquest Hospital Egerton Unit Conquest Hospital The Ridge St Leonards-on-Sea East Sussex,01424 758076,01424 757003,,,Hastings & Rother PCT,Hastings & Rother PCT
brihove,E38000021,E38000021,Brighton and Hove  Wheelchair / Specialist seating Service,BN2 3EX,Sussex Rehabilitation Centre (Brighton) Elm Grove   Brighton East Sussex,01273 242156,01273 605063,SC-TR.wheelchairadmin@nhs.net,http://www.sussexcommunity.nhs.uk/services/servicedetails.htm?directoryID=16359,Sussex Community NHS Trust,Sussex Community NHS Trust
eassusdgn,E38000083,E38000055,East Sussex Wheelchair Service,BN21 2UD,District General Hospital Rehabilitation Unit Kings Drive  Eastbourne East Sussex,01323 413798,01323 413895,,,East Sussex Downs and Weald PCT,East Sussex Downs and Weald PCT
huleardn,E38000085,E38000085,Hull and East Riding Wheelchair Services,HU2 8JJ,11 Reed Street Kingston upon Hull East Yorkshire,0344 8936375,,hull.wheelchairservice@nhs.net,www.blatchford.co.uk/locations/hull-nhs-wheelchair-service/,NRS Healthcare,Hull CCG
ednlthian,,S03000042,Edinburgh Mobility Centre,EH9 2HL,Astley Ainslie Hospital 133 Grange Road   Edinburgh City of Edinburgh,0131 537 9177,0131 537 9176,,,Lothian Primary Care Trust,Lothian Primary Care Trust
wlchless,E38000192,E38000106,Waltham Forest Wheelchair & Special Seating Service,CM2 0PD,The Gemini Centre 88 New London Road   Chelmsford Essex,0800 1230810,01245 318561,,,Central Essex Community Services (CECS),Central Essex Community Services (CECS)
ntheaecl,E38000106,E38000117,North East Essex Wheelchair Service,CO3 3NB,Essex County Hospital Lexden Road   Colchester Essex,01206 744680,01206 744681,chu-ftr.NEEWCS@nhs.net,http://www.colchesterhospital.nhs.uk/wheelchair_services,Colchester Hospital University NHS Foundation trust,North Essex CCG
havrng,E38000077,E38000077,Havering Wheelchair Service,RM3 0AR,Disablement Services Centre Harold Wood Hospital Gubbins Lane Haroldwood Romford Essex,01708 796200,01708 796201,,,Havering Primary Care NHS Trust,Havering Primary Care NHS Trust
mdessx,E38000106,E38000106,Mid Essex Wheelchair Service,CM2 0PD,The Gemini Centre Lower Ground Floor 88 New London Road  Chelmsford Essex,01245 318560,01245 318561,,,Mid Essex Primary Care Trust,Mid Essex Primary Care Trust
rdbrdge,E38000138,E38000138,Redbridge Wheelchair service,IG3 8XJ,Goodmayes Hospital Barley Lane Goodmayes  Ilford Essex,020 8970 5752,020 8970 57553,,,NHS Redbridge,NHS Redbridge
sthndesx,E38000117,E38000168,Southend Wheelchair Service,SS2 5TE,Integrated Resource Centre Unit 8 The Forum Coopers Way Temple Farm Industrial Estate  Southend on Sea Essex,01702 442145,01702 442102,southendwheelchair.service@nhs.net,,South Essex Partnership NHS Trust,
shwesthr,E38000197,E38000185,Wheelchair Service,RM16 2PX,Thurrock Community Hospital Long Lane   Grays Essex,01375 364455,01375 364454,wheelchairservice@swessex.nhs.uk,,South West Essex Community Services,South West Essex Community Services
glsgwsct,,S03000043,West of Scotland Mobility & Rehabilitation Centre,G51 4TF,Southern General Hospital 1345 Govan Road Govan  Glasgow Glasgow,0844 811 3001 or 0141 201 2624,0141 2012649,WestMARC@ggc.scot.nhs.uk,http://www.nhsggc.org.uk/WestMARC,NHS Greater Glasgow & Clyde & Consortium NHS Health Boards,
chlgloush,E38000062,E38000062,Gloucestershire Care Services Wheelchair Service,GL51 0BY,Independent Living Service Village Road   Cheltenham Gloucestershire,01242 713900,01242 524837,,,Gloucestershire Care Services,NHS Gloucestershire
wgnleigh,E38000205,E38000205,Wigan and Leigh Wheelchair Service,WN3 4NW,Claire House Lower Ince Health Centre Pheonix Way Ince Wigan Greater Mancester,01942 481162,01942 481175,wigan.wheelchairservice@bridgewater.nhs.uk,,Bridgewater Community Healthcare NHS Trust,Wigan CCG
bltngm,E38000016,E38000016,Bolton Wheelchair Service,BL1 1SQ,Lever Chambers Centre for Health Ashburner Street   Bolton Greater Manchester,01204 462777,01204 462778,,,NHS Bolton Foundation Trust,NHS Bolton Foundation Trust
rchdold,E38000080,E38000080,Rochdale Posture & Mobility Centre,OL10 2DY,Peninsula House Cross Street Heywood  Rochdale Greater Manchester,01706 837190,,deborah.jones@pat.nhs.uk,,Rochdale Healthcare NHS Trust,Rochdale Healthcare NHS Trust
salfman,E38000143,E38000143,Salford Disable Living Centre,M28 2LY,Burrows House Wardley Industrial Estate   Salford Greater Manchester,0161 607 1499,,,www.salford.gov.uk,Salford Disability Services,Salford Disability Services
altrman,E38000217,E38000217,Manchester Specialised Services Centre,M22 4NY,Ability House Altrincham Road Sharston Manchester Greater Manchester,0161 611 3800,0161 611 3761,manchesterwheelchairservices@nhs.net,,Universities of South Manchester NHS Trust,"Manchester (North, Central, South) and Trafford CCG's"
bsngham,E38000118,E38000120,Basingstoke Wheelchair Service,RG24 9RH,Fairway House Parklands Hospital Aldermaston Road  Basingstoke Hampshire,01256 376485,01256 376481,s.afshar@nhs.net,,Southern Health NHS Foundation Trust,North Hampshire
ptsmhmp,E38000137,E38000137,Portsmouth Disablement Services Centre,PO3 6AD,St Mary's Hospital Milton Road   Portsmouth Hampshire,02392 680154,02392 680151,,,Portsmouth Hospitals NHS Trust,Portsmouth Hospitals NHS Trust
wnchhmp,E38000013,E38000198,Winchester Posture & Mobility Service,SO23 7FA,Unit 5 Winchester Trade Park Easton Lane  Winchester Hampshire,01962 710444,01962 710443,,www.opcare.co.uk,NHS Hampshire,NHS Hampshire
herfherf,E38000049,E38000078,Herefordshire District  Wheelchair Service,HR2 9RP,Benet Building Belmont Abbey Ruchall Lane Belmont Hereford Herefordshire,01432 363903,01432 363959,,,Wye Valley Trust,Herefordshire CCG
hlstessx,E38000197,E38000049,Holly (West Essex) NHS Wheelchair Service,CM23 5GZ,Unit 3 Stortford Hall Industrial Park Dunmow Road   Bishop's Stortford Hertfordshire,01279 698902,01279 698904,,,South Essex Partnership Trust (SEPT),SEPT
herfdshr,E38000049,E38000049,Hertfordshire Wheelchair Service,AL7 1LT,Unit J Swiftfield City Park WatchmeadÂ Â  Welwyn Garden City Hertfordshire,0333 234 0303,,hertswcs@millbrookhealthcare.co.uk,,Millbrook Healthcare,East and North Hertfordshire CCGÂ  Herts Valley CCG
invrnshgl,,S03000044,Highlands Wheelchair Service,IV2 3UJ,Department of Medical Physics Raigmore Hospital Old Perth Road  Inverness Highlands,01463 704167/9,01463 705717,,,Highland Acute Hospitals NHS Trust,Highland Acute Hospitals NHS Trust
nwislew,E38000087,E38000087,Isle of Wight Occupational Therapy & Wheelchair Service,PO30 5TG,St Mary's Hospital Dodnor Lane   Newport Isle of Wight,01983 552053,01983 552052,,,Isle of Wight NHS PCT,Isle of Wight NHS PCT
bcknkent,E38000124,E38000023,Wheelchair Assessment Service,BR31DU,Beckenham Clinic 14 The Crescent   Beckenham Kent,020 8662 6671,020 8658 3398,,www.bromleyhealthcare-cic.nhs.uk,Bromley HealthcareLtd,Bromley HealthcareLtd
cantkent,E38000199,E38000029,"Kent & Medway Wheelchair Service, Canterbury",CT1 1AZ,Trust Headquarters St Martins Hospital   Canterbury KENT,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
bexlyknt,E38000011,E38000011,Bexley Wheelchair Service,DA8 2DH,20 Whitehall Lane Slade Green   Erith Kent,020 3045 3755,020 3045 3757,,www.inspirecommunitytrust.org,Inspire Community Trust,Inspire Community Trust
knmdart,E38000104,E38000043,"Kent and Medway Wheelchair Service , Dartford",DA2 6PB,Greenacres Bow Arrow  Lane   Dartford Kent,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
knmgilln,E38000156,E38000104,"Kent & Medway Wheelchair Service, Gillingham",ME7 5NY,DSC Centre Medway Maritime Hospital Windmill Road  Gillingham Kent,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
knmashfd,E38000002,E38000002,"Kent & Medway Wheelchair Service, Ashford",TN23 7SH,Administration Team Norman House Beaver Business Park Beaver Road Ashford Kent,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
knmaylsm,E38000002,E38000156,"Kent & Medway Wheelchair Service, Aylesham",CT3 3BB (Sat Nav CT3 3AA),New Aylesham Health Centre Queen's Road   Aylesham Kent,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
knmmaid,E38000207,E38000199,"Kent & Medway Wheelchair Service, Maidstone",ME17 4AH,The Heathside Centre Heath Road Coxheath  Maidstone Kent,0300 7900128,0300 7900129,kcht.wheelchairservice-kent@nhs.net,www.kentcht.nhs.uk,Kent Community Health NHS Trust,Kent Community Health NHS Trust
chrlyman,E38000034,E38000200,Chorley South Ribble and West Lancashire Wheelchair Service,WN8 9PN,Unit 2  Pendle Place West Pimbo Industrial Estate  Skelmersdale West Lancashire,01695 559142,01695 727143,,,Southport & Ormskirk Hospitals NHS Trust,Southport & Ormskirk Hospitals NHS Trust
prestman,E38000050,E38000227,Specialist Mobility Rehabilitation Centre,PR2 8DY,Preston Business Centre Watling Street Road Fulwood  Preston Lancashire,01772 716921,01772 712391,,,Lancashire Teaching Hospitals NHS Trust,Lancashire Teaching Hospitals NHS Trust
sthptlanc,E38000170,E38000170,Southport & Formby Wheelchair Services,PR9 0PQ,44 - 46 Houghton ST    Southport Lancashire,01704 385098,01704 383077,,,Sefton PCT,Sefton PCT
sthskems,E38000170,E38000200,Southport and Formby Wheelchair Service,WN8 9PR,"Unit 2, Pendle Place West Pimbo Industrial Estate   Skelmersdale Lancashire",01695 559142,01695 727143,,,Southport and Ormskirk Hospitals NHS Trust,Southport and Ormskirk Hospitals NHS Trust
leicleicsts,E38000097,E38000051,Leicester Specialist Mobility Centre,LE19 1WZ,17A Meridian East    Leicester Leicestershire,0116 282 3500,0116 2456160,,www.blatchford.co.uk,Blatchford Clinical Services,Blatchford Clinical Services
nthlincol,E38000099,E38000122,North Lincolnshire Wheelchair Service,DN16 1QQ,Horkstow House Brumby Resource Centre East Common Lane  Scunthorpe North Lincolnshire,01724 298080,01724 298079,,,North Lincolnshire and Goole Hospitals NHS Foundation Trust,North Lincolnshire and Goole Hospitals NHS Foundation Trust
grmnthlin,E38000100,E38000119,Wheelchair Services,DN33 2BA,Diana Princess of Wales Hospital Scartho Road   Grimsby North East Lincolnshire,01472 875323,01472 875488,,,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust
linclincon,E38000100,E38000100,Lincolnshire Wheelchair Service,LN5 8HJ,Millbrook Healthcare Somer House 84 Great North Terrace  Lincoln Lincolnshire,03332 400101,,lincolncontactus@millbrookhealthcare.co.uk,,Millbrook Healthcare,Greater East Midlands Commissioning Support Unit
finchlndn,E38000005,E38000005,Barnet Wheelchair Service,N12 0JE,Finchley Memorial Hospital Granville Road   Finchley London,0845 389 2889,0208 349 7435,wheelchair.service@barnet-pct.nhs.uk,,Barnet Primary Care Trust,Barnet Primary Care Trust
camdnldn,E38000027,E38000027,Camden & Islington  Wheelchair Service,NW5 2TX,The Peckwater Centre 6 Peckwater Street   Camden London,0203 317 5040,020 7485 5306,enquiries.wheelchair@camdenpct.nhs.uk,www.islington.gov.uk,Camden & Islington Community Health Services NHS Trust,Camden & Islington Community Health Services NHS Trust
hcknylnd,E38000035,E38000035,City & Hackney Wheelchair Service,N1 5LZ,St Leonard's Nuttall Street   Hackney London,020 7683 4250,020 7613 5359,,,City and Hackney Teaching Primary Care Trust,City and Hackney Teaching Primary Care Trust
putnyldn,E38000202,E38000193,Royal Hospital for Neuro-disability,SW15 3SW,West Hill    Putney London,020 8780 4500 Ex 5050,08701 912602,kmarshall@rhn.org.uk,www.rhn.org.uk,Royal Hospital for Neuro-disability,Royal Hospital for Neuro-disability
roelondn,E38000202,E38000193,Roehampton Wheelchair Service,SW15 5PN,Queen Mary's Hospital Roehampton Lane Roehampton London,0208 487 6084/5,0208 487 6186,Lesley.clarridge@stgeorges.nhs.uk,www.stgeorges.nhs.uk/services/community-services/wheelchair-service-and-rehabilitation-engineering/,St George's University Hospitals NHS Foundation Trust,"Kingston, Richmond, Merton, Sutton, Spelthorne, Wandsworth, CCG"
farqlondn,E38000023,E38000171,Guy's and St Thomas's Wheelchair service,SE19 1SZ,Bowley Close Rehabilitation Centre Farquhar Road London,020 3049 7760,020 3049 7703,gst-tr.gsttwheelchairservice@nhs.net,,Guy's and St Thomas's NHS Foundation Trust,Lambeth Southwark and Lewisham CCG
stratlond,E38000113,E38000113,Newham Wheelchair and Special Seating Service Wheelchair Services,E15 4LY,29 Romford Road    Stratford London,020 84969029,020 84969030,,,Newham Primary Care Trust,Newham Primary Care Trust
hartottlnd,E38000031,E38000072,Haringey Wheelchair Service,N15 3TH,St Ann's Hospital St Ann's Road   Tottenham London,0208 442 6202,0208 442 6367,,,Haringey Teaching PCT,Haringey Teaching PCT
hrtottlon,E38000202,E38000072,Haringey Wheelchair Service,N15 3TH,St Ann's Hospital St Ann's Road Tottenham  London London,0208 442 6365,0208 442 6367,,,North Middlesex Hospital NHS Trust,North Middlesex Hospital NHS Trust
lonlondn,E38000186,E38000186,Tower Hamlets Wheelchair Service,E1 4DG,Mile End Hospital 275 Bancroft Road Mile End London London,020 8223 8842,020 8223 8714,,,Tower Hamlets Primary Care Trust,Tower Hamlets Primary Care Trust
grenlond,E38000066,E38000066,Greenwich Wheelchair Service,SE18 3RZ,Memorial Hospital Shooters Hill   Woolwich London,0208 836 8536,020 8856 5473,,,Oxleas NHS Foundation Trust,Oxleas NHS Foundation Trust
sthseflivp,E38000161,E38000101,South Sefton Wheelchair Service,L9 7AL,Prosthetic & Wheelchair Centre University Hospital Aintree Longmoor Lane  Liverpool Merseyside,0151 529 8728,0151 529 3031,,,Aintree University Hospitals NHS  Foundation Trust,Aintree University Hospitals NHS  Foundation Trust
waltlivpl,E38000068,E38000101,Walton Centre for Neurology & Neurosurgery (BRSM),L9 7LJ,Lower Lane    Liverpool Merseyside,0151 525 3622 x5484,,,,Aintree Hospitals NHS Trust,Aintree Hospitals NHS Trust
livpmersy,E38000101,E38000101,Liverpool Wheelchair Service,L3 4BL,Lifehouse Brunswick Dock Business Park Summers Road  Liverpool Merseyside,0151 296 7770,0151 296 7764,liverpoolwheelchairservice@liverpoolch.nhs.uk,www.liverpoollifehouse.org.uk,Liverpool Community Heath NHS Trust,Liverpool CCG
sthelmer,E38000056,E38000172,Wheelchair Assessment Unit,WA9 3DA,Eccleston Centre St Helens Hospital Marshalls Cross Road  St Helens Merseyside,01744 646809,01744 646702,,,St Helens and Knowsley Hospitals NHS Trust,St Helens and Knowsley Hospitals NHS Trust
knkwlivm,E38000128,E38000091,Knowsley Centre for Independent Living,L36 6HY,11 Brickfields Huyton Business Park Huyton Knowsley Liverpool Merseyside,0151 244 4100,,centreforindependentliving@5bp.nhs.uk,www.knowsleycil.org,5 Boroughs NHS Foundation Trust,Knowsley CCG
enflndon,E38000057,E38000057,Enfield Wheelchair Service,N9 0AH,14 Centre Way Clavering Estate Montagu Road Edmonton Middlesex,020 8379 8842,,wheelchairservice@enfield.gov.uk,,London Borough of Enfield,Enfield CCG
hilhmidd,E38000082,E38000082,Hillingdon Wheelchair Service,UB3 2PB,Wood End Centre Judge Heath Lane   Hayes Middlesex,01895 484 881,01895 484 882,,,Central and Northwest London NHS Foundation Trust,Central and Northwest London NHS Foundation Trust
harromid,E38000074,E38000074,Harrow Wheelchair Service,HA1 4TR,Unit 11 Waverley Industrial Estate Hailsham Drive   Harrow Middlesex,0208 427 2881,0208 427 2934,,,Central and Northwest London NHS Foundation Trust,Central and Northwest London NHS Foundation Trust
hounmidd,E38000084,E38000084,Hounslow Wheelchair and Special Seating Service,TW3 3EL,Heart of Hounslow Centre for Health 92 Bath Road   Hounslow Middlesex,020 86303 994 / 1277,020 8630 3766,,http://www.hrch.nhs.uk/our-services/services-directory/services-in-hounslow/wheelchair-service-hounslow/,Hounslow and Richmond Community Healthcare NHS Trust,North West London Commissioning Support Unit
breneami,E38000020,E38000020,Brent and Ealing Wheelchair Service,HA0 4UZ,Wembley Centre for Health & Care Copland Suite 116 Chaplin Road  Wembley Middlesex,020 8795 6075,020 8795 6074,harriet.beynon@brentpct.nhs.uk,,NHS Brent (Hosting  Ealing),NHS Brent (Hosting  Ealing)
knglynofk,E38000203,E38000203,Kings Lynn  Wheelchair Service,PE30 4ET,Queen Elizabeth Hospital Gayton Road   Kings Lynn Norfolk,01553 613761,01553 613196,wheelchairservice@qehkl.nhs.uk,,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,West Norfolk CCG
nrchnorf,E38000218,E38000218,Norwich Disablement  Services Centre,NR2 3UD,(Julian Hospital Site)  201 Bowthorpe Road  Norwich Norfolk,01603 216956,01603 216969,,,NHS Norfolk -Norfolk Community Health and Care,NHS Norfolk -Norfolk Community Health and Care
gtyarnrfk,E38000063,E38000063,Great Yarmouth & Waveney Wheelchair Service,NR31 9AQ,Norfolk Coastal Centre for Independent Life Woodfarm Lane Beacon Park Gorleston Great Yarmouth Norfolk,01493 659722,01493 659715,,,Suffolk PCT on Behalf of Gt Yarmouth & Waveney PCT,Suffolk PCT on Behalf of Gt Yarmouth & Waveney PCT
wrexntwl,E38000196,W11000023,Artificial Limb and Appliance Service,LL13 7TD,Wrexham Maelor Hospital Croesnewydd Road   Wrexham North Wales,01978 727524,01978 727307,,,North East Wales NHS Trust,North East Wales NHS Trust
nthallyks,E38000052,E38000069,Northallerton Wheelchair Centre,DL6 1JG,The Friarage Hospital    Northallerton North Yorkshire,01609 763914,01609 763050,,,Harrogate and District Foundation Trust,Harrogate and District Foundation Trust
harrgnyks,E38000073,E38000073,Harrogate Wheelchair Service,HG5 8LF,Unit 2 Manse Lane   Knaresborough North Yorkshire,01423 554615,01423 554601,york.nhswheelchairservice@nhs.net,www.hdft.nhs.uk,Harrogate and District Foundation Trust,Harrogate CCG
nyorknyo,E38000188,E38000188,North Yorkshire and York Wheelchair Centre,YO30 5SF,Blue Beck House Blue Beck Drive Shipton Road York North Yorkshire,01904 654052,01904 675093,cabsl.NYOwheelchairs@nhs.net,www.blatchford.co.uk/locations/north-yorkshire-and-york-nhs-wheelchair-service/,NRS Healthcare,Vale of York CCG
scrbnthyk,E38000145,E38000145,Scarborough Wheelchair Centre,YO12 4AD,Springhill House   Scarborough North Yorkshire,01723 353177,,,,Harrogate and District Foundation Trust,Harrogate and District Foundation Trust
kettnorth,E38000104,E38000108,Northamptonshire Wheelchair Service Assessment Team,NN16 8NN,Forest House 2 Riley Road   Kettering Northamptonshire,01536 516069,01536 527402,wheelchair.assessment@nhft.nhs.uk,,Northamptonshire Healthcare NHS Foundation Trust,Nene CCG
nthunort,E38000130,E38000130,Northumberland Wheelchair Service,NE23 1WB,Community Stores Unit 43 Colbourne Crescent Nelson Park Industrial Estate Cramlington Northumberland,01670 730595,01670 730537,wheelchairservices@northumbria-healthcare.nhs.uk,,Northumbria Healthcare NHS Foundation Trust,Northumberland CCG
nottnottn,E38000132,E38000132,Nottingham Mobility Centre,NG5 1PJ,City Campus Hospital Nottingham University Trust Hucknall Road  Nottingham Nottinghamshire,0115 9691169 ext 56549,0115 9628052,,www.nuh.nhs.uk,,Mobility Centre
mannottn,E38000103,E38000103,Mansfield Wheelchair Service,NG18 5QJ,Mansfield Community Hospital Stockwell Gate   Mansfield Nottinghamshire,01623 785076,01623 622931,,,Sherwood Forest Hospitals Trust,Sherwood Forest Hospitals Trust
